"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"Agl",-0.588599315117134,-2.26179091306021,1.24101189757364,-1.47910081717158,0.860066836261483,-1.94066717271849,0.202392759387354,-0.662827919291328,0.763930598934305,-1.66483772312219
"Dbr",0.708698938895384,-0.837224958105454,2.01276146229366,-3.04322386773734,-0.575675233473291,-1.62830917764765,-1.505634106534,-0.265150341589882,-2.62775520747093,0.560642908895753
"Ezo",-1.03187848646985,1.24886121383864,0.864113694225862,-1.65258839023073,0.47124442583036,1.94178969424492,1.08720489125809,0.447207451076059,-0.341542024159108,-0.119191854440472
"Gde",-2.73869959747029,0.150307948957068,1.02280049510284,-0.151827887024952,1.92287870642172,0.675537511538976,-0.631902246083036,1.73690329421764,-0.520912740952114,0.05856676578072
"Oau",3.27968087142667,-1.04069349635512,-0.220619612362766,-0.750411108533322,2.51090530837919,-0.442163114995293,1.39269451375665,0.525916936927562,-0.0428080525222698,1.42419072729091
"Omo",-0.0815142422324765,0.715903771264424,0.400292347633229,0.28145231331342,-0.014733572454795,0.494736402601744,1.26530428290803,-0.67420656764466,0.587905774615616,0.543033176630351
"Orh",-0.322956047075128,0.0787141460225866,-0.787866737301444,-1.3208935033533,-0.12521859914655,-1.39855591092083,-0.811996051344546,-0.0595196298282947,1.7476123267254,-0.485664922005486
"Osi",-0.75866905334211,1.10871940597272,0.573373437526941,-1.29133543216645,3.04148462385497,0.56359024029316,-0.567959748513104,0.0969438053409907,0.490262423123897,0.927344251011871
"Ram",1.00998007640427,0.333003051669952,0.26953091222362,-0.21226088387669,-0.877339254797821,0.844189626024464,-3.33517970783819,-0.536545865356057,1.06305412162578,0.0438483761133314
"Rse",-0.867018377737885,-0.555815810586063,1.12310420022217,1.22897625493678,0.760416416497263,-0.422127574651836,1.36152826112419,-0.512579014277541,-0.573241586641647,1.35244322622334
"Tec",0.0120762680372206,0.250519308208356,0.308154707305396,0.0971204580909683,-0.333454314623345,-0.202303896526084,0.0950301482685267,0.288559087448845,1.81460752144474,-0.704862927694653
"Tle",1.035973132033,0.335485497088775,3.27714576292204,2.03389005264782,0.326459635122648,-0.410905864105226,-0.730185055523281,0.800388303136382,0.269944933682887,1.36422301995681
"Tni",1.88688158023711,-0.987002749646159,1.95683949142098,-0.408708134680368,-2.44123416168493,1.3950708331731,0.92453672633375,2.61380702754494,1.23094223739169,1.37778802699761
"Tro",-0.116885451190468,-0.0465611734271044,2.1123411208329,-0.229093466805807,-0.125188878116017,-0.983193274597042,0.67514922898882,-0.379160345117005,0.183810426399522,-1.82056548411462
"Dle",-0.111883475454499,0.0437741903698802,0.290797435628932,0.176797360435003,-0.386247523616159,-0.273097256916243,0.371900874524753,-0.217127658232175,0.79751886022723,-0.316742605775808
"Etr",-0.000992158430838918,-0.993160443203501,-0.778565932558991,0.748158592034427,-0.413806267993864,-0.472874150320436,0.530967967768228,1.1660507214204,1.70619923032237,-0.112467051010416
"Gfl",-1.22046547640156,-0.834970550934709,0.213930783762393,0.110788513861868,1.20720769987514,1.62430978249985,-1.15117808254372,2.37128139227784,1.35944391354667,0.0447686280932205
"Gsp",-1.12022930713168,-1.59031530552044,0.470822368355918,-0.859803375993114,-1.14062581982596,1.2130130244319,0.537221754764119,-0.880963077522006,0.608277435760342,-1.62768273982032
"Nsc",-0.974443384385539,-0.561660511740533,-0.400478825140471,2.76533909916297,0.559410476180679,-1.73577618989021,0.0768758445449965,0.956794723797986,-1.83076244561172,-0.267792435921141
"Pbi",-0.930348563718979,-1.17235885497148,0.286762932067842,0.226702898858312,-0.450663402938709,0.921466977997028,0.0490472421721616,0.0339473498828179,-0.456653021923366,-1.15449539925338
"Pbr",-0.0338044320534216,-0.0115629421259429,0.0694470578460371,0.0515477534090225,-0.211153035624598,-0.157369786001196,0.165585991111348,-0.00713254228624754,0.134354015497617,0.193593302494899
"Pha",-1.92862292557942,-3.29998339480603,-1.62306061052676,-1.34034821085742,-0.856509658466719,1.50692171013149,-0.142582083887314,-0.469503842379756,-0.0705424491353959,2.4426588167802
"Stu",-0.0144796629694265,0.21557484461421,0.556590370968332,-0.7076084838647,0.32519057720617,1.08810852889613,0.867715625386042,0.267551590071514,-1.03688299897927,-0.759975802287716
"Kgl",-0.87331226803383,-0.295462119411877,0.0348460494281843,0.906111391201533,0.288939808284538,1.14131824418679,0.350314193217908,0.384358681943458,-0.924670479488904,-0.877567388655575
"Oro",-0.240654839213123,0.193260995585012,0.119780298379629,0.417278629652903,-0.444869462168863,-0.384163357814514,0.602794928165347,0.771630152331287,0.804177329075454,0.440696840101713
"Tor",0.0421930787645419,-0.33470613843012,0.395805732066297,0.161609060539677,-0.766887177280367,0.0260013640586695,1.31328335963007,-0.236804735552481,-1.01856895497558,-0.839584970741445
"Cdi",-0.516016363043361,0.264351762120027,0.23765342177651,-0.393921776272114,-0.70811809233428,-0.504617926463789,0.324827633768291,0.118512685638801,-0.312992858265653,-0.373707115383043
"Cra",-0.135456336748277,-0.228681604372203,-0.294518631268635,-0.321115495453069,-0.405527594657132,-0.354069187398323,-0.0298214266601535,0.200802676226608,-0.500112589339362,0.13750072342015
"Ore",0.0350272073611973,0.437909987392621,0.353291851936255,-1.01088330345833,-0.81073515734264,-0.302335853623085,-0.975412248712727,2.35904894335271,0.308823358916159,-0.368707201311673
"Cfu",-0.271569782106801,0.341167642678113,0.47388872322653,0.51383307122209,0.0481890732078461,0.554346319778295,0.394454085754586,-0.64239582044151,1.23716534709858,-0.488834932948589
