"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9"
"Pse",0.0584843650804757,0.0953514109938551,-0.0162247883787287,0.0577755848120202,-0.135911322751752,-0.0942379452114246,-0.0271898272915885,0.0201680711818235,-0.0250857773429323
"Cden",0.0187836732080292,0.0183716720699168,-0.190938894989468,0.0605533647799341,-0.101698922308786,-0.0697456389656188,0.207299098524825,0.198303427988873,0.0226007589789856
"Aco",0.301464274589333,0.0722982489291398,0.414729122422992,-0.517818899944205,0.0950741555150899,0.237729026034057,0.447739010600452,-0.188856151971844,0.330948171938899
"Dip",-0.0444686768140382,-0.0387059344324483,0.0303759499530322,0.0364708752510985,-0.00638474491359113,0.468120339411819,0.303647901232475,0.154811387764482,0.258036222819652
"Csu",-0.546092749748152,2.39570386423035,0.358103865760681,1.04886473117328,-0.84992279459168,-0.57054532134199,0.135420895146317,-0.378337839964915,-1.07120386496493
"Mnu",-0.997293791951437,0.286061785434855,-1.36058479540409,1.51743752971065,-0.71090872551078,0.599384706761147,1.30173003475597,0.306696634899194,1.8849167751226
"Pco",0.0679535712454061,0.0459449893838414,-0.0233832271243463,-0.0832135936736708,0.0118194657387506,-0.0388927403855965,-0.0932315244923675,-0.0674248466009798,-0.0228047739653396
"Cdeb",0.333094414836436,0.51190048919679,-0.375299724983658,-0.594137559502557,-0.915557884376959,-0.385588023283289,-0.184636743830941,-0.920511773853844,0.653450285901346
"Cwa",0.0780451123883461,0.036915415807207,-0.401238496811695,-0.176333139685285,0.148473448627002,0.121180096811898,-0.308605593846801,-0.415106368607767,0.0471975967073933
"Pba",0.0436752776145043,0.0262020364477522,-0.283520515487571,-0.0109814000563653,-0.0818479012799731,0.183820125935407,0.352784984316554,-0.0627941404333396,0.204288561601698
"Ptr",-0.0580793669752695,1.42363381072616,-0.0726561107443531,-0.547998975794469,-0.0640840061441239,0.701686645956618,-0.184511171457104,0.580500100515172,0.0691535075126262
"Lun",0.408781690804957,0.614005299147867,-0.228483266197619,-0.679263514263198,0.467744575848497,-0.400831716142515,-0.351683983487015,-0.377205739975842,0.146204195967546
"Acn",-0.210648283591336,0.120572665684276,0.0414800836733111,0.261639971793819,0.118207754875572,0.196155925642753,-0.23828240584109,-0.0636858272421423,0.1272277746559
"Tno",0.136608026284669,-0.0986039086757069,-0.180722709630718,-0.0402494419300798,-0.162558244351599,-0.0115310210554408,-0.43046745163298,0.265320694870548,0.00433047588561178
"Ccu",0.148628318488584,0.0269358786742625,-0.261721562000857,0.0538200525119492,0.358983777319345,-0.482784783557339,-0.125923484458473,-0.88136138020453,0.360687587038995
"Pan",0.0562101506738125,-0.0189892805138284,-0.0494806489022267,-0.00445645051098691,0.160460667904327,-0.0810224988278686,0.0246317442278623,-0.0790538707553018,0.148065461098289
"Gfa",-0.0457021080487015,0.108684138021807,0.04919434422381,0.052351324319943,0.11643943915942,0.0567305143715561,-0.137136305539922,0.0457552896220012,0.144130247715922
"Hta",0.140018181961829,-0.0875116668848565,0.105954268554705,0.109498273767321,-0.164826612535619,0.125678681172999,0.0796499029607774,0.0784476178951338,0.0570268777452801
"Psu",0.20727303674805,-0.147770909332064,0.0348297947764911,0.130583657265751,-0.0478873799964541,0.180206916893382,-0.0287293477657701,-0.211513423797976,0.0399273072091262
"Cda",-0.234034280454997,1.18610058129975,-1.59646396166252,-0.612876040502862,1.24997066966022,1.33936281028395,-0.969928157808148,0.665913457463316,-0.814598539411988
"Dro",0.0133234798640016,0.055692217935304,0.0376448208975307,-0.052421351102015,0.0452731903300549,-0.0397227275586572,0.0288523828806126,0.123481533675697,0.0942646736006505
"Cha",0.0186934167277331,-0.00289216281407303,-0.166364271030984,-0.00010914255967802,-0.00894890532127298,-0.0582200817691482,-0.163207104956966,0.0796361349755318,-0.0905829381786234
"Pac",0.379059993413249,0.210278988788676,0.361346206105105,0.12190585423182,0.179208055321723,-0.147853458961238,0.151394334580003,1.02796389008019,-1.20628644011055
"Coc",0.0341539264955224,0.0517405592242849,-0.00675983301601678,0.0638265053923495,-0.00169857261733247,-0.0847584959768134,0.0644011215975816,0.0379102338271496,-0.103791072431069
"Pte",0.00648438729641882,0.0193327153692802,-0.0573844280229741,0.0710019807080796,-0.0800449843815046,0.387083064886149,0.589998266189063,0.417267139211557,0.465060407165224
"Edu",-0.653449233223769,0.249523790991605,1.12616540517469,1.670189375769,0.971428034496728,-0.132929047096854,-1.41767230760848,1.43924378328017,1.33409476101898
"Plo",0.103608266412812,0.603767681099928,0.054290706868825,-0.37237525708978,0.109866367830589,-0.183528546247417,-0.290689114561304,0.364891435467506,-0.498402184687037
"Dpu",0.0983659187018148,0.204397607161124,0.0285414108021414,-0.150566366357623,-0.0609997654243236,-0.103346352862779,-0.182590332424891,-0.0441330383062455,-0.0816576937461796
"Rte",0.00533149779988938,0.0282348342913563,0.0557308068134064,-0.0265628835113272,0.0100779507280977,0.0509206739056812,-0.258006965841245,-0.0425269060325128,0.243638456271062
"Fja",0.0704132443577655,0.481955603825767,0.389838299403721,-0.239550631086242,-0.123446459371696,-0.0254093313848676,-0.243059164216208,-0.29679273470149,0.0819215616739412
"Hak",0.010521808012182,0.0548870733403488,0.0344414046306145,-0.011149902485712,0.0311815779922579,-0.0579560483486004,0.0357784855933944,0.094714461916486,0.0178604398408475
"...64",4.89,3.85,1.85,1.03,0.71,0.51,0.41,0.3,0.29
