"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7"
"Agl",-0.588599315117134,-2.26179091306021,1.24101189757364,-1.47910081717158,0.860066836261483,-1.94066717271849,0.202392759387354
"Dbr",0.708698938895384,-0.837224958105454,2.01276146229366,-3.04322386773734,-0.575675233473291,-1.62830917764765,-1.505634106534
"Ezo",-1.03187848646985,1.24886121383864,0.864113694225862,-1.65258839023073,0.47124442583036,1.94178969424492,1.08720489125809
"Gde",-2.73869959747029,0.150307948957068,1.02280049510284,-0.151827887024952,1.92287870642172,0.675537511538976,-0.631902246083036
"Oau",3.27968087142667,-1.04069349635512,-0.220619612362766,-0.750411108533322,2.51090530837919,-0.442163114995293,1.39269451375665
"Omo",-0.0815142422324765,0.715903771264424,0.400292347633229,0.28145231331342,-0.014733572454795,0.494736402601744,1.26530428290803
"Orh",-0.322956047075128,0.0787141460225866,-0.787866737301444,-1.3208935033533,-0.12521859914655,-1.39855591092083,-0.811996051344546
"Osi",-0.75866905334211,1.10871940597272,0.573373437526941,-1.29133543216645,3.04148462385497,0.56359024029316,-0.567959748513104
"Ram",1.00998007640427,0.333003051669952,0.26953091222362,-0.21226088387669,-0.877339254797821,0.844189626024464,-3.33517970783819
"Rse",-0.867018377737885,-0.555815810586063,1.12310420022217,1.22897625493678,0.760416416497263,-0.422127574651836,1.36152826112419
"Tec",0.0120762680372206,0.250519308208356,0.308154707305396,0.0971204580909683,-0.333454314623345,-0.202303896526084,0.0950301482685267
"Tle",1.035973132033,0.335485497088775,3.27714576292204,2.03389005264782,0.326459635122648,-0.410905864105226,-0.730185055523281
"Tni",1.88688158023711,-0.987002749646159,1.95683949142098,-0.408708134680368,-2.44123416168493,1.3950708331731,0.92453672633375
"Tro",-0.116885451190468,-0.0465611734271044,2.1123411208329,-0.229093466805807,-0.125188878116017,-0.983193274597042,0.67514922898882
"Dle",-0.111883475454499,0.0437741903698802,0.290797435628932,0.176797360435003,-0.386247523616159,-0.273097256916243,0.371900874524753
"Etr",-0.000992158430838918,-0.993160443203501,-0.778565932558991,0.748158592034427,-0.413806267993864,-0.472874150320436,0.530967967768228
"Gfl",-1.22046547640156,-0.834970550934709,0.213930783762393,0.110788513861868,1.20720769987514,1.62430978249985,-1.15117808254372
"Gsp",-1.12022930713168,-1.59031530552044,0.470822368355918,-0.859803375993114,-1.14062581982596,1.2130130244319,0.537221754764119
"Nsc",-0.974443384385539,-0.561660511740533,-0.400478825140471,2.76533909916297,0.559410476180679,-1.73577618989021,0.0768758445449965
"Pbi",-0.930348563718979,-1.17235885497148,0.286762932067842,0.226702898858312,-0.450663402938709,0.921466977997028,0.0490472421721616
"Pbr",-0.0338044320534216,-0.0115629421259429,0.0694470578460371,0.0515477534090225,-0.211153035624598,-0.157369786001196,0.165585991111348
"Pha",-1.92862292557942,-3.29998339480603,-1.62306061052676,-1.34034821085742,-0.856509658466719,1.50692171013149,-0.142582083887314
"Stu",-0.0144796629694265,0.21557484461421,0.556590370968332,-0.7076084838647,0.32519057720617,1.08810852889613,0.867715625386042
"Kgl",-0.87331226803383,-0.295462119411877,0.0348460494281843,0.906111391201533,0.288939808284538,1.14131824418679,0.350314193217908
"Oro",-0.240654839213123,0.193260995585012,0.119780298379629,0.417278629652903,-0.444869462168863,-0.384163357814514,0.602794928165347
"Tor",0.0421930787645419,-0.33470613843012,0.395805732066297,0.161609060539677,-0.766887177280367,0.0260013640586695,1.31328335963007
"Cdi",-0.516016363043361,0.264351762120027,0.23765342177651,-0.393921776272114,-0.70811809233428,-0.504617926463789,0.324827633768291
"Cra",-0.135456336748277,-0.228681604372203,-0.294518631268635,-0.321115495453069,-0.405527594657132,-0.354069187398323,-0.0298214266601535
"Ore",0.0350272073611973,0.437909987392621,0.353291851936255,-1.01088330345833,-0.81073515734264,-0.302335853623085,-0.975412248712727
"Cfu",-0.271569782106801,0.341167642678113,0.47388872322653,0.51383307122209,0.0481890732078461,0.554346319778295,0.394454085754586
"Cgr",-0.169831807331763,0.377144788848772,0.163958702475221,0.175689260102387,-0.0707600285007135,0.1476993709563,0.495859510251182
"Lan",-1.0035065463082,0.213526364264995,1.24447491632532,-0.395767881668237,0.466773312379086,-0.47816317803453,0.136846756123975
"Pcl",-0.140329923048889,-0.016325816407968,0.148619478887063,-0.00212426690045892,-0.350150896619689,-0.278225038467662,0.0873712125297512
