"","RDA1","RDA2","RDA3","RDA4"
"Agl",-0.588669612676805,-2.26187032372704,1.24088355115274,-1.47969279162431
"Dbr",0.708727894411659,-0.837214461438089,2.01230181040645,-3.04396753601435
"Ezo",-1.03167558068531,1.24891460517259,0.863720864000239,-1.65220651292184
"Gde",-2.73866483140597,0.150495818580351,1.02269773430427,-0.152057120046028
"Oau",3.27982865808495,-1.04121333352183,-0.221009930656496,-0.749559500839349
"Omo",-0.0815129682222167,0.715953170279747,0.39995548619746,0.281197601265265
"Orh",-0.322904992521586,0.0786332034270599,-0.788125328026998,-1.32092513514251
"Osi",-0.758614192046856,1.10878181435583,0.572880733876346,-1.29151493850758
"Ram",1.01011594134356,0.332799164583977,0.268998160511468,-0.21245264887677
"Rse",-0.867020856832747,-0.55575035007416,1.12299219534195,1.22914275220448
"Tec",0.0120590183275112,0.250551292375793,0.307818839405136,0.0967380869945655
"Tle",1.03603258944469,0.335712964930207,3.27713974855112,2.03333454369955
"Tni",1.8870177473173,-0.987341901668341,1.95652900208408,-0.40885770669426
"Tro",-0.116678414715859,-0.0466295425684207,2.1123501011983,-0.22883298317622
"Dle",-0.111779612705747,0.0438289908343716,0.290675849160951,0.177073819784959
"Etr",-0.00107913510056723,-0.993216332541117,-0.778834544909085,0.748197558827332
"Gfl",-1.22051529690523,-0.835047275677681,0.214173956577128,0.111044796496092
"Gsp",-1.120256963433,-1.59026740100889,0.470522687755178,-0.859575778819821
"Nsc",-0.974532261754698,-0.561595128994592,-0.40002407273742,2.76539452775571
"Pbi",-0.930307875815177,-1.1723893938043,0.286846666202291,0.227292136992675
"Pbr",-0.0337978280431771,-0.0115737826772005,0.0694616338879477,0.0515414510681944
"Pha",-1.92888323702198,-3.29999464936126,-1.62356949524156,-1.33957040607076
"Stu",-0.0144410873753597,0.21553804642639,0.556584318759734,-0.707585681227988
"Kgl",-0.873225656605524,-0.295622077367552,0.0349749902090799,0.906511353995652
"Oro",-0.240626460230914,0.193256639805323,0.119821641531782,0.417301156768313
"Tor",0.0423099523594483,-0.33478591703479,0.395626881527559,0.162250730220796
"Cdi",-0.515974790325633,0.264308233722424,0.237603097512839,-0.393986243793843
"Cra",-0.135475349223989,-0.228692920155982,-0.294549894421215,-0.321102234000063
"Ore",0.0351125078128688,0.437800518579131,0.353143637492251,-1.01086229785452
"Ata",-0.00949774225745248,0.0110575027026961,0.0317451204915357,-0.0269737010284663
"Cfu",-0.271459728635013,0.341116988613952,0.473894618925213,0.513991509329384
"Cgr",-0.169762414879726,0.37706848602868,0.163875085648358,0.175816351499695
"Lan",-1.00344739608995,0.213648596439019,1.24450447253633,-0.395656755561587
"Pcl",-0.140313799518835,-0.0163305054746929,0.148625429207795,-0.0021396214250472
"Pmi",-0.869279799987974,0.954876662397327,0.16762686518853,0.662690854755704
"Pos",0.202522219570583,0.136010585796353,0.0184073366743857,0.203920965102065
"Pse",-0.325005571973043,0.0371356589303063,0.0680191518750966,0.410294249040749
"Cden",-0.550962466823887,0.201237587159691,0.486378792396495,0.652944431298604
"Aco",-0.119079110397146,0.139240758068712,-0.363684149129394,-0.156669853769012
"Dip",0.0343152654112578,0.0897525395069345,-0.0652610867139132,-0.0181110757474744
"Csu",-0.0483954890426819,0.303995214158479,-0.167923196877318,0.0442928680626789
"Mnu",0.111511354410833,0.127951769404709,-0.0602763808334322,-0.226263503201572
"Pco",-0.23833951750617,0.139849846221398,-0.0472492371794941,-0.177887646614191
"Cdeb",-0.957670196903288,1.1827718836817,0.81514202319453,-1.49004565257197
"Cwa",-0.042365443068434,0.343319032071613,0.476978586973065,-0.189291221151737
"Pba",-0.0414234585458973,0.0981249422618133,0.099621358363917,0.228001223126422
"Dac",-0.0981290593128395,0.176990818092948,0.0405326223678021,-0.079920788377276
"Ptr",-1.23516916860927,2.43439445429433,-0.562096470781938,-0.943719065145529
"Lun",-0.716605528316344,1.73707034844269,-0.53729032450265,-0.926894696496724
"Nsi",0.0427921243896277,-0.12249241821693,-0.192171630642704,-0.0557394248628149
"Rst",0.0148151109800199,-0.00695564407743887,0.196705365905747,-0.0648266024025178
"Pst",-0.119193001648432,0.17563652980905,-0.0965811927150266,-0.164136764127177
"Acn",0.0250161241021688,0.196851521618913,-0.127482216188665,0.00980258115003685
"Tno",0.292452272770189,-0.737883752129295,1.14367735200886,-0.856136183362723
"Ccu",-0.181454740839484,0.225553041730127,-0.0971218527615576,-0.138136820526469
"Pan",-0.0153842759560164,-0.190757491708233,0.0324321468771616,0.143773254244653
"Gfa",0.0607404149749565,0.0959856219369198,-0.110206763620128,0.0771660854887135
"Hta",0.0484532914695727,-0.0226839708067391,0.188594543864298,-0.25442387698974
"Dsp",0.0479333057172452,-0.0039406596814679,0.24309282138097,-0.0539420639710996
"Psu",-0.218723013488238,-0.186232597918982,0.119726207151189,-0.277175600397019
"Cei",-0.306343836308104,0.165380270431501,-0.133419705420611,0.208210262977088
"Ndi",-0.0187419375869023,0.0557188028862391,0.0458662831813964,0.077293107722013
"Cda",-0.298732656797164,0.96509791113466,0.582766192809263,-0.812127596997612
"Dro",-0.19213564975584,0.192491803727996,0.0778849365179481,0.0878424048828529
"Cha",-0.131816036357728,0.0712974042689759,0.2416457017518,0.264781119193638
"Pac",-0.238594945024925,0.0795627068076366,-0.565049409764746,-0.404614659481745
"Cau",-0.0983482196693464,0.0705526557663911,-0.0983512424355068,-0.136842718434085
"Coc",-0.0990087901582215,0.0221733227361286,0.231250571132972,0.0401698867038265
"Pte",0.22188545381401,-0.00556953579693885,-0.283023716360363,0.128170457510972
"Edu",2.07719130987825,1.73569337351204,-1.41673974903198,-0.969004541096762
"Mpe",-0.0726190781330977,0.08609874038941,-0.0410317653461095,0.0409495913627873
"Pde",-0.0422975146053394,-0.0810329521911013,-0.0236585522033272,0.0673463248219107
"Plo",-0.569936092244198,0.647188190436768,-0.0632244698125756,0.306127170491515
"Dpu",-0.239415145522917,0.369023030575406,-0.089651174901173,-0.450113006159084
"Rte",-0.0226323458553087,0.0673380733116511,0.00450340886970118,-0.177607390940984
"Fja",-0.541432257029824,0.639638915015329,-0.651436602805489,-0.198979779434765
"Hak",-0.16377949231389,0.218013675159589,-0.16789944110855,-0.0645280522288964
"Mhe",0.301047426418001,-0.889935451700662,-2.34085830263687,-0.977303021947691
"Dno",0.000314000589956182,0.00184051515879429,-0.00161874275069591,-0.00476232338891104
"...80",6.25,2.49,0.97,0.4
