"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7"
"Agl",-0.588669612676805,-2.26187032372704,1.24088355115274,-1.47969279162431,0.862294972079079,-1.93960636962309,0.201534547055273
"Dbr",0.708727894411659,-0.837214461438089,2.01230181040645,-3.04396753601435,-0.574327907877304,-1.62772765136481,-1.50568972693981
"Ezo",-1.03167558068531,1.24891460517259,0.863720864000239,-1.65220651292184,0.469697577262434,1.94198677196451,1.08836525508682
"Gde",-2.73866483140597,0.150495818580351,1.02269773430427,-0.152057120046028,1.92233728751832,0.677465281293063,-0.632032445035198
"Oau",3.27982865808495,-1.04121333352183,-0.221009930656496,-0.749559500839349,2.51174373016429,-0.44112344613793,1.39146460162382
"Omo",-0.0815129682222167,0.715953170279747,0.39995548619746,0.281197601265265,-0.015237661594506,0.494489143741954,1.26579173443987
"Orh",-0.322904992521586,0.0786332034270599,-0.788125328026998,-1.32092513514251,-0.123746904009754,-1.39838762364557,-0.812726048798378
"Osi",-0.758614192046856,1.10878181435583,0.572880733876346,-1.29151493850758,3.04107737673914,0.567304031310026,-0.567689035788167
"Ram",1.01011594134356,0.332799164583977,0.268998160511468,-0.21245264887677,-0.878077606269058,0.844366741763379,-3.3357679303482
"Rse",-0.867020856832747,-0.55575035007416,1.12299219534195,1.22914275220448,0.760839460974222,-0.422277295915026,1.36092128021938
"Tec",0.0120590183275112,0.250551292375793,0.307818839405136,0.0967380869945655,-0.333002688229467,-0.202385304793197,0.0948486612917313
"Tle",1.03603258944469,0.335712964930207,3.27713974855112,2.03333454369955,0.326837596963562,-0.410343570361253,-0.73086371498448
"Tni",1.8870177473173,-0.987341901668341,1.95652900208408,-0.40885770669426,-2.44185109910287,1.39259904159445,0.925424194210716
"Tro",-0.116678414715859,-0.0466295425684207,2.1123501011983,-0.22883298317622,-0.124362227531427,-0.984539912034504,0.674072423340456
"Dle",-0.111779612705747,0.0438289908343716,0.290675849160951,0.177073819784959,-0.38563718231075,-0.273778364336809,0.37139517034765
"Etr",-0.00107913510056723,-0.993216332541117,-0.778834544909085,0.748197558827332,-0.41286364687952,-0.473564480157691,0.530262594594235
"Gfl",-1.22051529690523,-0.835047275677681,0.214173956577128,0.111044796496092,1.20579347645475,1.62569371196008,-1.1507536788305
