"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9"
"Agl",-0.627312260243009,-2.04787723668168,-0.752342846064958,-0.280252883578555,2.44138348843562,0.593522849953778,0.304693548075225,-2.35854637022711,0.0807210208235424
"Dbr",0.665079730112232,-0.534843461246705,-1.69531708964978,0.509154973567899,2.18933383248039,1.18399277310033,2.25093702603669,0.394720688246622,1.14532014916661
"Ezo",-0.996149836842545,1.27401917116501,-0.46452687496993,-0.851049932773819,1.09052603210423,-0.283947413124776,1.49973193698972,0.873503331902255,-1.52331888654581
"Gde",-2.60399083330318,0.669625131922337,-0.606935498673404,0.517342392577287,1.65780730554437,1.17928956456256,-1.0995904993377,-0.580931235323004,-1.77382658073003
"Oau",3.31426129123956,-1.08757376194262,0.381422907541946,0.866844685036272,0.305405709244585,0.71923202069045,0.571926891066601,-2.25246907705777,-2.04693054750133
"Omo",0.0443260299157105,0.710312457378982,0.378167854441577,-0.464074493147354,1.14389098774182,-0.364898199899538,-0.614064436901552,-1.15424244504041,-0.0497630831026533
"Orh",0.0670144850917715,0.167229093979695,2.51359133276924,-0.125331135763201,2.61398727018667,2.11940122136741,-1.12623852047653,1.17948427775563,0.945009495801307
"Osi",-0.722271978545354,0.827032685767409,0.777862458723622,-0.924078637775592,1.25759055805391,-1.20003583373207,1.13218004095738,-0.644534674038016,-2.78074027547396
"Ram",0.979751742927247,0.351079924408417,-1.97275491345935,-3.48405976499818,1.71175310808962,0.927479851017686,-1.64728846094095,-0.881517272733078,1.2262799303199
"Rse",-0.87110167265453,-0.374805699194013,-0.146817019403684,1.53893486162688,0.0719341770331432,-1.33660360443921,-0.672874887295163,-2.26595043771031,-0.840906697675288
"Tec",0.0564758830334441,0.207399159138628,0.29324547608442,0.0067276904743002,0.535972251835688,-0.380648709594723,-0.156570612169382,0.0831690402111464,0.560123883653139
"Tle",1.0521158002831,0.403943722114433,-0.857663844625463,1.72379501890062,1.85476037374706,-2.41642994879349,-1.77525478584395,0.915887010945462,0.431478689941952
"Tni",1.68577401529187,-1.13624775094226,-1.58309478370879,-0.332525021093538,0.82398299760822,-2.02949909418435,1.31076105653835,0.445183046399598,1.33167898147546
"Tro",-0.122281107987212,0.181721100062955,-0.932068681706215,1.42284961800185,1.22581843913279,-0.670455990839162,0.3124566312267,0.0808202683274901,0.439508371843814
"Dle",-0.109164737457038,0.0132655446118517,0.0945901053854199,0.163623303177836,0.143301255636497,-0.495336191750723,0.0792601347183047,-0.0400802011253326,0.587382844955599
"Etr",0.0105600320022377,-1.27782123145858,1.58528517720939,-0.0819210249472629,-0.161288779245992,-1.1313414255072,-0.218590793465835,-1.38527558300155,1.11408090175564
"Gfl",-1.24469288509056,-0.760486694182526,-0.348911776915094,-0.969996560747899,0.951364161759166,0.150976966488879,-1.10384124928926,0.864983665717082,-1.40975681494316
"Gsp",-1.22449718000686,-1.47445616317959,-0.349911074289747,0.540288008580466,0.136304263165894,-0.16488805063769,1.40327487399588,0.148811386906128,0.345830641446576
"Nsc",-1.00506114815317,-0.68522930231791,0.636198530255748,-0.0966092309703586,-0.574123924128311,-1.17821522369335,-2.67423054979916,-1.22185250191486,0.264989975078988
"Pbi",-1.00089377390294,-1.2077759886046,0.47299012557689,0.89098869325531,-0.183040696569352,-0.867433769851393,0.575827434575041,0.101340903268295,-0.0705502344372533
"Pbr",-0.0215548912173829,-0.00714186370939504,0.0766650959663805,0.0732218927041854,0.0983909828816353,-0.0928429767511428,-0.0300676039020771,-0.17146843405294,0.236630087809885
"Pha",-2.09925193697344,-3.56025617101524,0.871663104336764,-2.15494359373367,0.167338555937532,0.416004768978784,1.07864135001596,0.870292490680064,0.151033072203813
"Stu",-0.0168866618420483,0.135974155489872,0.0339479211842593,-0.160413228909905,0.558826197986136,-0.599823499800642,0.926193479964649,0.672014764448962,-0.91268522198502
"Kgl",-1.04766583417713,-0.557856405964147,-0.282502423277639,-1.00943622536536,-0.679862057447491,-1.55823996630614,-0.212303699773304,1.25331931095692,-0.741358816253431
"Oro",-0.228653209052886,0.130205890308067,0.30947292939582,0.181055869042057,-0.0327234452220753,-0.621689527133486,0.00321399810753528,-0.171063921366275,0.758398253164991
"Tor",-0.127043418591303,-0.621386441843706,-0.503012850323251,-1.08661118828459,-0.231916830134007,-1.66959930041611,0.611610717442091,0.63049764064783,0.325170333345894
"Cdi",-0.521795258640214,0.275682993900501,-0.0660752678480754,0.076275630212224,0.100077216674798,-0.137136924148536,0.556207631030927,0.194004572845228,0.856118490637634
"Cra",-0.175111762917857,-0.257794421208177,-0.118309190920156,-0.405549239224095,-0.191805489330856,0.159386292536486,0.43321414031819,-0.580216635621393,0.496192055460214
"Ore",0.359811300921522,0.0732210637701991,3.62544487962119,0.582394905029354,2.61129921628486,-1.4718188786095,0.402221028169554,0.777248667859414,1.17150229917082
"Ata",-0.00988082045794546,0.00894809170469342,-0.00399405457377117,-0.00978576190578855,0.0292614661488665,-0.0407701624833357,0.0402843287270185,-0.0700931979199175,0.00531996278284911
"Cfu",-0.274669916273204,0.246976726222528,0.124230552597124,-0.103642523294874,0.207053169377207,-1.08675777091872,-0.252096773066047,0.0995164175294788,-0.277548054316776
"Cgr",-0.16414679921825,0.332425282418951,0.0480200171680042,-0.102415321851194,0.025115767800654,-0.464871078921687,0.00429441017612673,0.0879751771704477,-0.00435904639436779
"Lan",-0.99056066118014,0.416914794575478,-0.459859104980038,1.06519014728224,0.658403125878851,-0.268805027798751,0.44564692274767,0.351058591212743,-0.35809748865743
"Pcl",-0.136909189560678,-0.0211567830796556,0.0624775972964376,0.103428485341437,0.111567319181961,-0.177108551679203,0.0884810333071681,0.0499438500617419,0.473770407954782
"Pmi",-0.882421596629574,0.769661075703759,0.203013402160424,-0.699232354634594,-0.0826806125029639,-1.38102721992232,-0.0242647816584983,-0.916059254992037,1.07784465091913
"Pos",0.152289721424825,-0.000437628813959964,-0.200489868153228,-0.673293994736045,-0.0603831200075254,-0.464645061086159,-0.0744781184466691,0.486708818590677,0.342403783964639
"Pse",-0.340182341864756,0.0392598881323082,0.0369669062071042,0.318389919791666,-0.341784680398489,-0.396240939858652,-0.0030700806856692,-0.212486344977078,0.613468001809777
"Cden",-0.555859015282959,0.19073496732471,0.0227884117573383,0.322821065021741,0.0919732645682916,-0.720325503767431,-0.367711866242422,-0.140404299729487,0.0968302438723958
"Aco",-0.135288050208096,0.058621523313023,0.0657668795643802,-0.587774768943571,-0.295691213261388,-0.235212319299384,0.281107205984786,-0.332591218829694,0.683069976702656
"Dip",0.0285119768670201,0.074383659339862,0.0135306723224249,0.0350353950601634,-0.154418259403213,-0.0138879372460209,0.121891513375244,0.0906102283933925,0.253087158577962
"Csu",-0.0197006053099684,0.315242272239842,-0.221672920406007,-0.851822539594002,0.291712180834661,0.0685567907542854,-0.251960271227117,-1.90630501014654,1.12939403721053
"Mnu",0.116612631514555,0.1220903737023,-0.0131125517024483,-0.128353077058299,0.0457080791977551,0.127805840655115,0.160142649026898,-0.347540031244211,0.212762317535593
"Pco",-0.237680561273115,0.0914512371086751,0.195882621614645,-0.0504601210882077,-0.0760498385984471,-0.298493787484668,0.39881215353528,-0.445891337415204,0.782008270657629
"Cdeb",-0.924944748611519,1.35800745847899,-0.320531874501389,1.06057596492935,0.165146733481423,0.231489033111804,2.05716136763577,-0.00261444190937229,0.917095854368016
"Cwa",-0.0488606363757676,0.290316844550634,-0.0326452343564523,0.0318530489121235,0.202090452728154,-0.724046344535585,0.531865748512037,0.054070155137273,-0.411856239653102
"Pba",-0.038149214748451,0.103886141880534,-0.0297006337524324,0.0828693134148636,-0.00954698493010135,-0.112067406199191,-0.1713873937298,-0.0228633571761646,0.0213761706432328
"Dac",-0.106168478023713,0.112664162144449,0.10591984875468,-0.125455929800882,-0.0318344284689013,-0.340802561122252,0.295608154876168,0.274194175965102,0.146041561319227
"Ptr",-1.13933115856925,2.53307805996096,-0.13430290923396,-0.497169277992299,-0.628590052124589,0.711540976065677,1.24342739416307,-0.785260480523041,1.33285027739643
"Lun",-0.484812709601219,1.72403669230906,1.52025008615153,0.166083604339982,0.684226972754176,0.725252163678728,0.408446089959713,-0.774454330115895,-0.0440786915145519
"Nsi",0.0438817056757625,-0.101151161846358,0.0292928875778652,0.0643247091949111,-0.164931626712468,0.22350177820593,0.0871679864112109,0.14659870485243,0.0349352355720923
"Rst",-0.00445198016704649,-0.0690667179157654,0.0639512346053488,-0.0369859822554249,0.0510525177374238,-0.511417215835028,0.311213214435023,-0.123915064741712,-0.327162186270784
"Pst",-0.12658751049866,0.140298665348321,0.0188294975795609,-0.170025503526661,-0.130071236103102,-0.0671986941472008,0.300510015163747,0.238245217625522,0.0662468692308778
"Acn",0.028946986681914,0.164118006948987,0.0743769613004541,-0.148216628059956,-0.115129250027247,-0.0749374185295646,0.0858189379106661,0.0369351829578942,-0.0178609981522931
"Tno",0.25594103413459,-0.617360885493621,-0.5726546682727,0.799943564176844,0.828055100338128,-0.131649381195131,0.947606212240312,-0.285916450295485,-0.80356750292448
"Ccu",-0.177386154576191,0.342004494651923,-0.206001620524995,0.546011654184049,-0.438830692393695,0.571753746910781,0.243519551940104,0.379006926426045,0.132914379330683
"Pan",-0.00656660245306933,-0.170878130711518,0.0493769150485304,0.0795451654430203,0.133993221075453,0.110450609999082,-0.251804984967393,0.269354898107325,-0.0991964700555974
