"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"Agl",-0.588669612676805,-2.26187032372704,1.24088355115274,-1.47969279162431,0.862294972079079,-1.93960636962309,0.201534547055273,-0.664013859664393,0.763996775858247,-1.66412893069966
"Dbr",0.708727894411659,-0.837214461438089,2.01230181040645,-3.04396753601435,-0.574327907877304,-1.62772765136481,-1.50568972693981,-0.26360926725461,-2.62839867160217,0.558945216914992
"Ezo",-1.03167558068531,1.24891460517259,0.863720864000239,-1.65220651292184,0.469697577262434,1.94198677196451,1.08836525508682,0.447606599405326,-0.34137097560379,-0.119353601619363
"Gde",-2.73866483140597,0.150495818580351,1.02269773430427,-0.152057120046028,1.92233728751832,0.677465281293063,-0.632032445035198,1.73736470513206,-0.520757233194495,0.0575762767195016
"Oau",3.27982865808495,-1.04121333352183,-0.221009930656496,-0.749559500839349,2.51174373016429,-0.44112344613793,1.39146460162382,0.52539460330617,-0.0438849754125786,1.42434564411708
"Omo",-0.0815129682222167,0.715953170279747,0.39995548619746,0.281197601265265,-0.015237661594506,0.494489143741954,1.26579173443987,-0.674026307247136,0.586766508024587,0.542669980616121
"Orh",-0.322904992521586,0.0786332034270599,-0.788125328026998,-1.32092513514251,-0.123746904009754,-1.39838762364557,-0.812726048798378,-0.0595743200818597,1.74791816010748,-0.484911599672811
"Osi",-0.758614192046856,1.10878181435583,0.572880733876346,-1.29151493850758,3.04107737673914,0.567304031310026,-0.567689035788167,0.0970882000735939,0.488770582705949,0.927095446987711
"Ram",1.01011594134356,0.332799164583977,0.268998160511468,-0.21245264887677,-0.878077606269058,0.844366741763379,-3.3357679303482,-0.536161820884832,1.0611093299877,0.0442612912080276
"Rse",-0.867020856832747,-0.55575035007416,1.12299219534195,1.22914275220448,0.760839460974222,-0.422277295915026,1.36092128021938,-0.511764268567524,-0.574856772302123,1.35175062697308
"Tec",0.0120590183275112,0.250551292375793,0.307818839405136,0.0967380869945655,-0.333002688229467,-0.202385304793197,0.0948486612917313,0.288058658627881,1.81477716891607,-0.704104118317656
"Tle",1.03603258944469,0.335712964930207,3.27713974855112,2.03333454369955,0.326837596963562,-0.410343570361253,-0.73086371498448,0.801022314283437,0.269523627546201,1.36489638416722
"Tni",1.8870177473173,-0.987341901668341,1.95652900208408,-0.40885770669426,-2.44185109910287,1.39259904159445,0.925424194210716,2.61411177676922,1.23018626399507,1.3777423911487
"Tro",-0.116678414715859,-0.0466295425684207,2.1123501011983,-0.22883298317622,-0.124362227531427,-0.984539912034504,0.674072423340456,-0.379065618635669,0.185521222697641,-1.82033669171947
"Dle",-0.111779612705747,0.0438289908343716,0.290675849160951,0.177073819784959,-0.38563718231075,-0.273778364336809,0.37139517034765,-0.216539342594703,0.797218264968706,-0.31609418465715
"Etr",-0.00107913510056723,-0.993216332541117,-0.778834544909085,0.748197558827332,-0.41286364687952,-0.473564480157691,0.530262594594235,1.16603665487988,1.70633059741885,-0.111831344889435
"Gfl",-1.22051529690523,-0.835047275677681,0.214173956577128,0.111044796496092,1.20579347645475,1.62569371196008,-1.1507536788305,2.36987493253517,1.3608052789163,0.0460683841505875
"Gsp",-1.120256963433,-1.59026740100889,0.470522687755178,-0.859575778819821,-1.14165310353155,1.21152755093884,0.537707108511634,-0.88023747008302,0.608964843198495,-1.62792298889079
"Nsc",-0.974532261754698,-0.561595128994592,-0.40002407273742,2.76539452775571,0.561228008889512,-1.73591603053628,0.0751891710071139,0.957604171423293,-1.83032235985218,-0.269159545983299
"Pbi",-0.930307875815177,-1.1723893938043,0.286846666202291,0.227292136992675,-0.451238422374357,0.920522033573719,0.049065032212881,0.0347007444179491,-0.456179990170987,-1.15510401655266
"Pbr",-0.0337978280431771,-0.0115737826772005,0.0694616338879477,0.0515414510681944,-0.210932231662149,-0.157582700812848,0.165631961457375,-0.00693273422211156,0.134145214826901,0.193558339428707
"Pha",-1.92888323702198,-3.29999464936126,-1.62356949524156,-1.33957040607076,-0.858099409761309,1.5062305288604,-0.142002453908952,-0.468457526602573,-0.0730415566131884,2.44262162016724
"Stu",-0.0144410873753597,0.21553804642639,0.556584318759734,-0.707585681227988,0.324179386606449,1.08815384445872,0.868400159100203,0.267371574526157,-1.03637931016659,-0.760486420986969
"Kgl",-0.873225656605524,-0.295622077367552,0.0349749902090799,0.906511353995652,0.288062303247158,1.14082670695164,0.350260820004872,0.38454931032789,-0.924927492493125,-0.878467424310204
"Oro",-0.240626460230914,0.193256639805323,0.119821641531782,0.417301156768313,-0.444163266331575,-0.384913079009671,0.602510696556967,0.771403442868271,0.804107564508818,0.441305824263599
"Tor",0.0423099523594483,-0.33478591703479,0.395626881527559,0.162250730220796,-0.766581854264839,0.0242985823731244,1.31285034367922,-0.235665108188583,-1.01859467606858,-0.840116830184566
"Cdi",-0.515974790325633,0.264308233722424,0.237603097512839,-0.393986243793843,-0.707583783657416,-0.505410371708076,0.324903537271136,0.118255867971433,-0.312587098727631,-0.373722134690305
"Cra",-0.135475349223989,-0.228692920155982,-0.294549894421215,-0.321102234000063,-0.405181001465255,-0.354439150181415,-0.0299152917142378,0.201136240733703,-0.500115585988511,0.137215340982822
"Ore",0.0351125078128688,0.437800518579131,0.353143637492251,-1.01086229785452,-0.81021494283951,-0.303155280027947,-0.975731270239623,2.35901682870734,0.311146091828348,-0.368520707660832
"Ata",-0.00949774225745248,0.0110575027026961,0.0317451204915357,-0.0269737010284663,-0.0321203131253967,0.0205905552682766,0.0483283367622774,-0.0426637728392929,0.0886052296678781,0.0136014587356876
"Cfu",-0.271459728635013,0.341116988613952,0.473894618925213,0.513991509329384,0.047897880537041,0.553954970478476,0.394357501118991,-0.64258456983693,1.23694611117016,-0.488301808996144
"Cgr",-0.169762414879726,0.37706848602868,0.163875085648358,0.175816351499695,-0.0707540162870469,0.147496533044609,0.495845608253627,0.0379752749241933,0.333555884436402,-0.0676995019917832
"Lan",-1.00344739608995,0.213648596439019,1.24450447253633,-0.395656755561587,0.46751602987056,-0.477789671035902,0.136818634688835,1.63307995325346,-0.640954917821879,-0.519123139674989
"Pcl",-0.140313799518835,-0.0163305054746929,0.148625429207795,-0.0021396214250472,-0.349905623978156,-0.278612780993666,0.0871751498772923,-0.103798139705075,0.03412908945823,0.0198009137293457
"Pmi",-0.869279799987974,0.954876662397327,0.16762686518853,0.662690854755704,-0.81572240161707,-0.58879958808145,0.473678677639766,-0.336848427765558,0.894959648031687,0.403579436643441
"Pos",0.202522219570583,0.136010585796353,0.0184073366743857,0.203920965102065,-0.132214821516965,-0.152951107324579,-0.136236935177198,-0.482702760506537,0.662261698369833,0.188315779857963
"Pse",-0.325005571973043,0.0371356589303063,0.0680191518750966,0.410294249040749,-0.698479066355758,-0.359419868073218,0.753099106274745,-0.265749092077959,-0.107587944237731,-0.821622285300556
"Cden",-0.550962466823887,0.201237587159691,0.486378792396495,0.652944431298604,0.176748632654302,-0.659325247475704,0.695604521728186,-0.0609447706521748,-0.511345783649176,0.614256295400381
"Aco",-0.119079110397146,0.139240758068712,-0.363684149129394,-0.156669853769012,-0.756560527623741,-0.0992781607449603,-0.113941631591706,0.0991810134267702,-0.760052794708563,0.51167958237617
"Dip",0.0343152654112578,0.0897525395069345,-0.0652610867139132,-0.0181110757474744,-0.112483525820052,-0.246806993882939,0.0701466798788386,-0.0638759392177225,0.701895523342574,-0.177891658151842
"Csu",-0.0483954890426819,0.303995214158479,-0.167923196877318,0.0442928680626789,-0.817447019809075,-0.836565679112851,0.120859351285354,0.581288746342308,-0.371948143013349,0.202416204091294
